customer_id,product,category,amount
37039,White Mug,Apparel,34.44
19144,White Mug,Electronics,601.43
50472,Headphones,Electronics,927.15
96586,Desk Lamp,Accessories,923.23
53887,Office Chair,Electronics,1714.71
46567,USB Cable,Stationery,1821.98
75098,Notebook,Electronics,734.59
87950,Wireless Mouse,Apparel,1772.33
39718,Headphones,Apparel,3298.51
13030,Notebook,Stationery,3475.26
32466,Office Chair,Furniture,1488.35
89794,Blue Pen,Electronics,1038.7
97817,Headphones,Stationery,3.32
43017,Wall Clock,Electronics,978.09
85852,T-shirt,Furniture,779.56
15473,Office Chair,Apparel,495.95
55644,Headphones,Stationery,467.58
20566,Backpack,Accessories,11.46
19819,USB Cable,Furniture,920.1
24716,Wall Clock,Accessories,2322.82
16604,Notebook,Furniture,543.15
45103,Wireless Mouse,Accessories,2400.35
14803,T-shirt,Stationery,1478.61
26772,T-shirt,Electronics,1016.7
62114,Blue Pen,Stationery,1339.43
38576,USB Cable,Stationery,2489.16
60532,Wall Clock,Apparel,474.05
47802,Office Chair,Furniture,554.94
98066,USB Cable,Furniture,608.53
83531,White Mug,Stationery,587.24
59307,White Mug,Electronics,370.5
61358,Headphones,Accessories,2055.72
54696,Wall Clock,Stationery,143.04
26741,Headphones,Electronics,2255.97
28203,T-shirt,Stationery,901.74
87631,Backpack,Furniture,978.99
41311,Desk Lamp,Stationery,106.16
52219,Wireless Mouse,Stationery,1307.55
30037,T-shirt,Stationery,296.41
40568,Notebook,Furniture,519.36
89341,Blue Pen,Electronics,657.77
69201,Backpack,Accessories,2123.66
46393,USB Cable,Apparel,139.47
47167,Desk Lamp,Furniture,46.22
73680,Wall Clock,Apparel,453.1
57796,Wireless Mouse,Stationery,2314.16
18741,Wireless Mouse,Electronics,634.94
85133,T-shirt,Electronics,2607.04
75852,Headphones,Stationery,146.52
25739,Wall Clock,Apparel,518.24
79905,Backpack,Stationery,477.87
59341,Headphones,Apparel,56.11
28756,T-shirt,Stationery,944.06
61799,Office Chair,Apparel,154.22
32638,Blue Pen,Furniture,119.06
80321,Desk Lamp,Stationery,1064.73
35294,Blue Pen,Accessories,430.01
47376,Backpack,Apparel,909.81
46641,Office Chair,Stationery,12.99
72552,Notebook,Furniture,1629.47
64580,Office Chair,Furniture,921.67
54809,Wireless Mouse,Accessories,426.06
43390,Notebook,Electronics,709.8
59957,Wireless Mouse,Electronics,345.57
68005,Office Chair,Apparel,835.5
96641,USB Cable,Furniture,883.21
33544,USB Cable,Accessories,1188.92
